yyyymm,price,dividend,earnings,book.to.market,t.bill,aaa.rate,baa.rate,long.term.yield,net.equity,risk.free.rate,inflation,long.term.rate,corp.bond,stock.variance,cross.sec.premium,crsp.vw,crsp.vwx
187307,4.97,0.3175,0.4475,NaN,NaN,NaN,NaN,NaN,NaN,0.00438222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187308,4.97,0.32,0.45,NaN,NaN,NaN,NaN,NaN,NaN,0.004837632,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187309,4.59,0.3225,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,0.010125772,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187310,4.19,0.325,0.455,NaN,NaN,NaN,NaN,NaN,NaN,0.011746159,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187311,4.04,0.3275,0.4575,NaN,NaN,NaN,NaN,NaN,NaN,0.010286468,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187312,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.006847782,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187401,4.66,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.005116654,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187402,4.8,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187403,4.73,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004161784,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187404,4.6,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187405,4.48,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003808987,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187406,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003735471,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187407,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.00377223,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187408,4.47,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187409,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187410,4.53,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003919249,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187411,4.57,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003779581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187412,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187501,4.54,0.3275,0.4517,NaN,NaN,NaN,NaN,NaN,NaN,0.00350754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187502,4.53,0.325,0.4433,NaN,NaN,NaN,NaN,NaN,NaN,0.003463418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187503,4.59,0.3225,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.003985401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187504,4.65,0.32,0.4267,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187505,4.47,0.3175,0.4183,NaN,NaN,NaN,NaN,NaN,NaN,0.003000022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187506,4.38,0.315,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.002992665,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187507,4.39,0.3125,0.4017,NaN,NaN,NaN,NaN,NaN,NaN,0.002816075,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187508,4.41,0.31,0.3933,NaN,NaN,NaN,NaN,NaN,NaN,0.003279556,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187509,4.37,0.3075,0.385,NaN,NaN,NaN,NaN,NaN,NaN,0.003978051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187510,4.3,0.305,0.3767,NaN,NaN,NaN,NaN,NaN,NaN,0.004286704,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187511,4.37,0.3025,0.3683,NaN,NaN,NaN,NaN,NaN,NaN,0.004345484,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187512,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,0.004507112,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187601,4.46,0.3,0.3533,NaN,NaN,NaN,NaN,NaN,NaN,0.00438222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187602,4.52,0.3,0.3467,NaN,NaN,NaN,NaN,NaN,NaN,0.003566366,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187603,4.51,0.3,0.34,NaN,NaN,NaN,NaN,NaN,NaN,0.003610483,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187604,4.34,0.3,0.3333,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187605,4.18,0.3,0.3267,NaN,NaN,NaN,NaN,NaN,NaN,0.00336046,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187606,4.15,0.3,0.32,NaN,NaN,NaN,NaN,NaN,NaN,0.003139799,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187607,4.1,0.3,0.3133,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187608,3.93,0.3,0.3067,NaN,NaN,NaN,NaN,NaN,NaN,0.002293481,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187609,3.69,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.003139799,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187610,3.67,0.3,0.2933,NaN,NaN,NaN,NaN,NaN,NaN,0.003816338,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187611,3.6,0.3,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187612,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,0.003970701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187701,3.55,0.2908,0.2817,NaN,NaN,NaN,NaN,NaN,NaN,0.00372812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187702,3.34,0.2817,0.2833,NaN,NaN,NaN,NaN,NaN,NaN,0.002955878,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187703,3.17,0.2725,0.285,NaN,NaN,NaN,NaN,NaN,NaN,0.002911732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187704,2.94,0.2633,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,0.002867583,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187705,2.94,0.2542,0.2883,NaN,NaN,NaN,NaN,NaN,NaN,0.002587934,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187706,2.73,0.245,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.002632094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187707,2.85,0.2358,0.2917,NaN,NaN,NaN,NaN,NaN,NaN,0.002690972,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187708,3.05,0.2267,0.2933,NaN,NaN,NaN,NaN,NaN,NaN,0.003794284,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187709,3.24,0.2175,0.295,NaN,NaN,NaN,NaN,NaN,NaN,0.004338137,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187710,3.31,0.2083,0.2967,NaN,NaN,NaN,NaN,NaN,NaN,0.004977153,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187711,3.26,0.1992,0.2983,NaN,NaN,NaN,NaN,NaN,NaN,0.004198527,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187712,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.003779581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187801,3.25,0.1892,0.3008,NaN,NaN,NaN,NaN,NaN,NaN,0.003948651,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187802,3.18,0.1883,0.3017,NaN,NaN,NaN,NaN,NaN,NaN,0.00355166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187803,3.24,0.1875,0.3025,NaN,NaN,NaN,NaN,NaN,NaN,0.00341194,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187804,3.33,0.1867,0.3033,NaN,NaN,NaN,NaN,NaN,NaN,0.003588425,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187805,3.34,0.1858,0.3042,NaN,NaN,NaN,NaN,NaN,NaN,0.00297795,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187806,3.41,0.185,0.305,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187807,3.48,0.1842,0.3058,NaN,NaN,NaN,NaN,NaN,NaN,0.002293481,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187808,3.45,0.1833,0.3067,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187809,3.52,0.1825,0.3075,NaN,NaN,NaN,NaN,NaN,NaN,0.003044164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187810,3.48,0.1817,0.3083,NaN,NaN,NaN,NaN,NaN,NaN,0.003654598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187811,3.47,0.1808,0.3092,NaN,NaN,NaN,NaN,NaN,NaN,0.00341194,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187812,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,0.003367814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187901,3.58,0.1817,0.3158,NaN,NaN,NaN,NaN,NaN,NaN,0.002830792,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187902,3.71,0.1833,0.3217,NaN,NaN,NaN,NaN,NaN,NaN,0.00244808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187903,3.65,0.185,0.3275,NaN,NaN,NaN,NaN,NaN,NaN,0.003367814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187904,3.77,0.1867,0.3333,NaN,NaN,NaN,NaN,NaN,NaN,0.003654598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187905,3.94,0.1883,0.3392,NaN,NaN,NaN,NaN,NaN,NaN,0.002911732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187906,3.96,0.19,0.345,NaN,NaN,NaN,NaN,NaN,NaN,0.002771923,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187907,4.04,0.1917,0.3508,NaN,NaN,NaN,NaN,NaN,NaN,0.002514329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187908,4.07,0.1933,0.3567,NaN,NaN,NaN,NaN,NaN,NaN,0.003735471,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187909,4.22,0.195,0.3625,NaN,NaN,NaN,NaN,NaN,NaN,0.003897198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187910,4.68,0.1967,0.3683,NaN,NaN,NaN,NaN,NaN,NaN,0.0040148,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187911,4.93,0.1983,0.3742,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187912,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,0.00402215,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188001,5.11,0.205,0.3892,NaN,NaN,NaN,NaN,NaN,NaN,0.00360313,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188002,5.2,0.21,0.3983,NaN,NaN,NaN,NaN,NaN,NaN,0.00355166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188003,5.3,0.215,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188004,5.18,0.22,0.4167,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188005,4.77,0.225,0.4258,NaN,NaN,NaN,NaN,NaN,NaN,0.003463418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188006,4.79,0.23,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.002992665,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188007,5.01,0.235,0.4442,NaN,NaN,NaN,NaN,NaN,NaN,0.002911732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188008,5.19,0.24,0.4533,NaN,NaN,NaN,NaN,NaN,NaN,0.00334575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188009,5.18,0.245,0.4625,NaN,NaN,NaN,NaN,NaN,NaN,0.00350754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188010,5.33,0.25,0.4717,NaN,NaN,NaN,NaN,NaN,NaN,0.00341194,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188011,5.61,0.255,0.4808,NaN,NaN,NaN,NaN,NaN,NaN,0.003647246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188012,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188101,6.19,0.265,0.4858,NaN,NaN,NaN,NaN,NaN,NaN,0.00350754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188102,6.17,0.27,0.4817,NaN,NaN,NaN,NaN,NaN,NaN,0.00360313,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188103,6.24,0.275,0.4775,NaN,NaN,NaN,NaN,NaN,NaN,0.00372812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188104,6.22,0.28,0.4733,NaN,NaN,NaN,NaN,NaN,NaN,0.003463418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188105,6.5,0.285,0.4692,NaN,NaN,NaN,NaN,NaN,NaN,0.002632094,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188106,6.58,0.29,0.465,NaN,NaN,NaN,NaN,NaN,NaN,0.002219854,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188107,6.35,0.295,0.4608,NaN,NaN,NaN,NaN,NaN,NaN,0.002587934,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188108,6.2,0.3,0.4567,NaN,NaN,NaN,NaN,NaN,NaN,0.003286911,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188109,6.25,0.305,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,0.00383104,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188110,6.15,0.31,0.4483,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188111,6.19,0.315,0.4442,NaN,NaN,NaN,NaN,NaN,NaN,0.004279356,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188112,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,0.004242616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188201,5.92,0.32,0.4392,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188202,5.79,0.32,0.4383,NaN,NaN,NaN,NaN,NaN,NaN,0.003669303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188203,5.78,0.32,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,0.003794284,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188204,5.78,0.32,0.4367,NaN,NaN,NaN,NaN,NaN,NaN,0.003367814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188205,5.71,0.32,0.4358,NaN,NaN,NaN,NaN,NaN,NaN,0.003213358,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188206,5.68,0.32,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.00341194,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188207,6,0.32,0.4342,NaN,NaN,NaN,NaN,NaN,NaN,0.003044164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188208,6.18,0.32,0.4333,NaN,NaN,NaN,NaN,NaN,NaN,0.003801635,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188209,6.24,0.32,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,0.004609952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188210,6.07,0.32,0.4317,NaN,NaN,NaN,NaN,NaN,NaN,0.004551187,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188211,5.81,0.32,0.4308,NaN,NaN,NaN,NaN,NaN,NaN,0.004426301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188212,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.003970701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188301,5.81,0.3208,0.4275,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188302,5.68,0.3217,0.425,NaN,NaN,NaN,NaN,NaN,NaN,0.00360313,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188303,5.75,0.3225,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,0.004338137,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188304,5.87,0.3233,0.42,NaN,NaN,NaN,NaN,NaN,NaN,0.003919249,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188305,5.77,0.3242,0.4175,NaN,NaN,NaN,NaN,NaN,NaN,0.003581072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188306,5.82,0.325,0.415,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188307,5.73,0.3258,0.4125,NaN,NaN,NaN,NaN,NaN,NaN,0.003161867,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188308,5.47,0.3267,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.00377223,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188309,5.53,0.3275,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188310,5.38,0.3283,0.405,NaN,NaN,NaN,NaN,NaN,NaN,0.004058898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188311,5.46,0.3292,0.4025,NaN,NaN,NaN,NaN,NaN,NaN,0.00383104,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188312,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188401,5.18,0.3283,0.3925,NaN,NaN,NaN,NaN,NaN,NaN,0.00324278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188402,5.32,0.3267,0.385,NaN,NaN,NaN,NaN,NaN,NaN,0.003139799,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188403,5.3,0.325,0.3775,NaN,NaN,NaN,NaN,NaN,NaN,0.003044164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188404,5.06,0.3233,0.37,NaN,NaN,NaN,NaN,NaN,NaN,0.00311773,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188405,4.65,0.3217,0.3625,NaN,NaN,NaN,NaN,NaN,NaN,0.003367814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188406,4.46,0.32,0.355,NaN,NaN,NaN,NaN,NaN,NaN,0.003875146,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188407,4.46,0.3183,0.3475,NaN,NaN,NaN,NaN,NaN,NaN,0.00402215,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188408,4.74,0.3167,0.34,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188409,4.59,0.315,0.3325,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188410,4.44,0.3133,0.325,NaN,NaN,NaN,NaN,NaN,NaN,0.00369136,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188411,4.35,0.3117,0.3175,NaN,NaN,NaN,NaN,NaN,NaN,0.003463418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188412,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,0.003323686,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188501,4.24,0.3042,0.3067,NaN,NaN,NaN,NaN,NaN,NaN,0.003095661,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188502,4.37,0.2983,0.3033,NaN,NaN,NaN,NaN,NaN,NaN,0.002955878,NaN,NaN,NaN,0.001539021,NaN,NaN,NaN
188503,4.38,0.2925,0.3,NaN,NaN,NaN,NaN,NaN,NaN,0.002933805,NaN,NaN,NaN,0.001544558,NaN,NaN,NaN
188504,4.37,0.2867,0.2967,NaN,NaN,NaN,NaN,NaN,NaN,0.002565853,NaN,NaN,NaN,0.001798403,NaN,NaN,NaN
188505,4.32,0.2808,0.2933,NaN,NaN,NaN,NaN,NaN,NaN,0.002352379,NaN,NaN,NaN,0.00180538,NaN,NaN,NaN
188506,4.3,0.275,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.002256668,NaN,NaN,NaN,0.00109684,NaN,NaN,NaN
188507,4.46,0.2692,0.2867,NaN,NaN,NaN,NaN,NaN,NaN,0.002219854,NaN,NaN,NaN,0.002936053,NaN,NaN,NaN
188508,4.71,0.2633,0.2833,NaN,NaN,NaN,NaN,NaN,NaN,0.002352379,NaN,NaN,NaN,0.002450235,NaN,NaN,NaN
188509,4.65,0.2575,0.28,NaN,NaN,NaN,NaN,NaN,NaN,0.002403911,NaN,NaN,NaN,0.0017323,NaN,NaN,NaN
188510,4.92,0.2517,0.2767,NaN,NaN,NaN,NaN,NaN,NaN,0.002587934,NaN,NaN,NaN,0.002995852,NaN,NaN,NaN
188511,5.24,0.2458,0.2733,NaN,NaN,NaN,NaN,NaN,NaN,0.002911732,NaN,NaN,NaN,0.00281383,NaN,NaN,NaN
188512,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,0.002955878,NaN,NaN,NaN,0.003026433,NaN,NaN,NaN
188601,5.2,0.2383,0.275,NaN,NaN,NaN,NaN,NaN,NaN,0.002816075,NaN,NaN,NaN,0.00172938,NaN,NaN,NaN
188602,5.3,0.2367,0.28,NaN,NaN,NaN,NaN,NaN,NaN,0.002514329,NaN,NaN,NaN,0.001547423,NaN,NaN,NaN
188603,5.19,0.235,0.285,NaN,NaN,NaN,NaN,NaN,NaN,0.002492246,NaN,NaN,NaN,0.001832107,NaN,NaN,NaN
188604,5.12,0.2333,0.29,NaN,NaN,NaN,NaN,NaN,NaN,0.002771923,NaN,NaN,NaN,0.001222623,NaN,NaN,NaN
188605,5.02,0.2317,0.295,NaN,NaN,NaN,NaN,NaN,NaN,0.002632094,NaN,NaN,NaN,0.001909112,NaN,NaN,NaN
